---
title: "Divine Love Messages — AI Index"
description: "A complete machine-readable index of all channeled Divine Love messages in this archive. Each entry includes title, spirit, medium, date, thematic collections, essential teachings flags, description, and the door — a single sentence distilling the transformative insight within the message."
last_updated: 2026-07-05
---

# Divine Love Messages — AI Index

This file is intended for AI systems and search engine crawlers.
For a human-friendly browse index, see content/browse.md.
For thematic collections, see content/collections/.
For essential teachings, see content/essential-teachings/.

---

| Message | Spirit | Medium | Date | Collections | Essential Teachings | Description | Door |
| [Gathering the Souls Under the Wings of Love](messages/2015/08/2015-08-10-af-john-the-beloved.md) | John the Beloved | Al Fike | 2015‑08‑10 | The Saints & Apostles Speak |  | John the Beloved prepares the gathering for an upcoming retreat, assuring them that God has purpose for every soul who will come together. He promises that Divine Love will pour into their souls in great abundance, dissolving doubt and fear, and that the gathering will send waves of love, healing, and change into both the physical and spirit worlds. | Every soul arriving at the gathering is already known and already expected; God has a purpose waiting for each one of them. |
| [Preparation and Support for Al](messages/2015/08/2015-08-13-af-augustine.md) | Augustine | Al Fike | 2015‑08‑13 | The Saints & Apostles Speak |  | Augustine instructs a small group to pray for and support their medium in the coming days as spirit prepares to work through him intensively during an upcoming gathering. He assures them that great preparation has been made upon each soul down to the cellular level, and encourages them to use their time together openly, lovingly, and purposefully. | God's preparation goes deeper than you know, right down to the cellular level; the work ahead has already begun within you. |
| [Knowing God's Will Through Soul Awakening](messages/2015/08/2015-08-13-af-confucius.md) | Confucius | Al Fike | 2015‑08‑13 | Mind & Soul |  | Confucius teaches that knowing God's Will comes not through mental speculation but through the awakened soul. He assures the gathering that the upcoming days together will bring a powerful clarity of purpose as the soul takes precedence over the mind, and encourages them to allow this reorganization to unfold without resistance, trusting that the soul holds a more complete understanding of God's Will than the mind ever can. | God's Will is not a puzzle for the mind to solve; it is a knowing that blooms in the soul the moment you stop trying to figure it out. |
| [Feel the Warmth of God's Love](messages/2015/08/2015-08-13-af-goldie.md) | Goldie | Al Fike | 2015‑08‑13 |  |  | Goldie offers a brief warm blessing, connecting the physical warmth of the summer air to the warmth of God's Love and His Breath upon all souls gathered. | The warmth you feel on your skin and the warmth you feel in your soul come from the same source. |
| [I Too Encountered Difficulty in Teaching This Simple Truth](messages/2015/08/2015-08-13-af-jesus.md) | Jesus | Al Fike | 2015‑08‑13 | Jesus Speaks, Awakening Humanity, Service & Mission | Core Teaching | Jesus speaks to a gathered group of disciples, drawing a direct parallel between their mission and that of his original apostles. He reflects on the resistance and difficulty he encountered in his own day, affirms each soul's unique gifts and purpose, and assures them that the time is coming when great world changes will open many hearts to the simple truth of God's Divine Love. | Jesus faced the same resistance you face; he is asking you now to finish what his first disciples began. |
| [Freedom Through the Activation of the Soul Mind](messages/2015/08/2015-08-14-af-augustine.md) | Augustine | Al Fike | 2015‑08‑14 | Mind & Soul, The Saints & Apostles Speak | Core Teaching | Augustine teaches on the soul mind and its slow but powerful emergence into conscious awareness, urging the gathering to attend to the subtle perceptions of their souls rather than the busy machinery of the material mind. He calls them to acknowledge their souls as the vital, central part of their being, and promises that in doing so they will find the freedom, clarity, and channel for God's Love they so deeply desire. | The soul mind knows without guessing and sees without speculation; the only thing keeping you from it is the habit of listening to the louder voice instead. |
| [Blessings to Help Those Who Are Engaged in the Larger Circle of Light](messages/2015/08/2015-08-14-af-james.md) | James | Al Fike | 2015‑08‑14 | The Saints & Apostles Speak |  | James announces that a special dispensation has been given to those in the inner circle — a cloak of protection, a guardian angel, and a special Light to help them stay above the human and material conditions as they do God's work in the wider circle. He urges them to sustain this blessing and choose wisely at this crucial crossroads for both themselves and the world. | Your prayers reach far beyond the room you are sitting in |
| [Speaking to a Divine Love Retreat Group: Be Open to New Possibilities](messages/2015/08/2015-08-15-af-augustine.md) | Augustine | Al Fike | 2015‑08‑15 | The Saints & Apostles Speak |  | Augustine addresses an international Divine Love retreat group, affirming that each soul has been guided there by God's Will and carries unique gifts and a hidden purpose waiting to be revealed. He challenges them to release their fears of rejection and judgment, step out from behind their masks, and boldly offer their gifts in service — assuring them that as they do, God's Will shall be made manifest through them collectively. | God is always opening new possibilities. Your only task is to remain open |
| [Confucius Addresses the Men in This Circle, Those Who He Is Charged With Guiding](messages/2015/08/2015-08-15-af-confucius.md) | Confucius | Al Fike | 2015‑08‑15 |  |  | Confucius addresses the men of the circle with characteristic warmth and humour, urging them to cast aside their doubts, walk bravely in faith, and allow the flame of Truth within their souls to burn without being dampened by the human condition. He reminds them that God's Living Waters of Love fuel this flame and that each carries a unique and powerful gift for the world. | You carry a flame in your soul that God has been stoking for years; doubt is the only water that can put it out. |
| [Message of Joy and Support](messages/2015/08/2015-08-15-af-goldie.md) | Goldie | Al Fike | 2015‑08‑15 |  |  | Goldie arrives with her characteristic joy to remind the gathering that many spirits surround them with love, blessings, and unique gifts, and encourages them to laugh and feel the depth of God's care for each of them. | Goldie comes because she can see you need to laugh; even heaven knows that joy is as necessary as prayer. |
| [Jesus Greets Those Gathered in Retreat: Reiterates His Calling to Be His Disciples](messages/2015/08/2015-08-15-af-jesus.md) | Jesus of Nazareth | Al Fike | 2015‑08‑15 |  |  | Jesus greets the retreat gathering and assures them their questions will be answered as they align more deeply with God's Will. He calls them to release self-judgment, love themselves truly, and step boldly into the Light as his disciples — promising that as they do, they will become powerful channels of Love, untouched by the conditions of the world, and walking in deep peace and joy. | Discipleship is not a title. It is a daily choice to walk in Love |
| [The Chain of Love](messages/2015/08/2015-08-15-af-mary.md) | Mary, Mother of Jesus | Al Fike | 2015‑08‑15 | The Saints & Apostles Speak |  | Mary speaks tenderly to the women in the circle, affirming that she holds special care over each one and that their gifts of nurturing, empathy, and love are deeply needed in the world. She describes how a single spark of compassion can ignite a chain of Love that spreads from soul to soul, purifying the world and bringing light to the lost, the hurting, and the children who long to be loved. | Every soul who receives God's Love becomes a link in a chain that circles the world |
| [Application of Your Spiritual Gifts Is Required](messages/2015/08/2015-08-16-af-augustine-2.md) | Augustine | Al Fike | 2015‑08‑16 | The Saints & Apostles Speak |  | Augustine continues guiding the retreat participants through a discernment exercise, asking them now to explore their spiritual gifts and what they are willing to contribute to bringing Divine Love truth into the world. He encourages them to distinguish God's Will from their own, assuring them that their individual gifts and common goals will surprise them when shared openly. | You already have the gifts; the only thing left is to decide how much of your life you are willing to give to using them. |
| [Bringing Forward the Gift of Yourselves in Service to God Will Bring Many Rewards](messages/2015/08/2015-08-16-af-augustine-3.md) | Augustine | Al Fike | 2015‑08‑16 | The Saints & Apostles Speak |  | Augustine closes the day's retreat exercises by tasking each participant to bring five questions for God to the next circle, and to commit to one specific act of service. He assures them that every soul who assists another in light and love will be blessed abundantly, and that stretching beyond comfort in service opens a greater channel of Love within. | God is not asking for everything at once; He is asking for one thing, done in love, with everything you have. |
| [Augustine Asks Participants to Consider the Differences Between Our Thoughts and Soul Perceptions](messages/2015/08/2015-08-16-af-augustine.md) | Augustine | Al Fike | 2015‑08‑16 | Mind & Soul, The Saints & Apostles Speak |  | Augustine invites the retreat participants to perform a discernment exercise, writing down their thoughts and guidance separately to learn to distinguish between what originates in the mind and what comes from the soul. He encourages boldness, laughter, and mutual trust, reminding them that even seemingly ordinary thoughts often contain seeds of genuine guidance. | Augustine sets a simple task: write down what feels like guidance and what feels like thinking, and be honest; you will be surprised by what you find. |
| [Amendment to Augustine's Guidance](messages/2015/08/2015-08-16-af-confucius.md) | Confucius | Al Fike | 2015‑08‑16 |  |  | Confucius gently amends Augustine's earlier instruction, noting that five questions per person would overwhelm the circle. He asks participants to discuss their questions together first, consolidate what is most important, and bring only the most essential forward, acknowledging the limitations of what may come through any instrument. | Even heaven works within limits; wisdom is knowing which question matters most and asking only that one. |
| [Let Go and Discover Your True Soul Purpose](messages/2015/08/2015-08-16-af-jesus.md) | Jesus | Al Fike | 2015‑08‑16 | Jesus Speaks, Mind & Soul | Core Teaching | Jesus speaks to the gathered retreat participants about discovering their true soul purpose, urging them to move beyond the material mind and into soul awareness through the inflowing of God's Love. He assures them that within each soul lies a clear understanding of their mission, and that the key to accessing this is not intellectual effort but the willingness to let go and receive God's Love. | Your soul already knows what you are meant to do; the only thing standing between you and that knowledge is the part of you that is afraid to find out. |
| [Strengthen One Another in Love](messages/2015/08/2015-08-17-af-augustine-2.md) | Augustine | Al Fike | 2015‑08‑17 | The Saints & Apostles Speak |  | Augustine joyfully closes the August 2015 Gibsons Retreat, releasing participants to celebrate together and affirming that they have made a great contribution to bringing Divine Love truth to the world. He encourages them to strengthen their bonds, lean on one another, and carry forward the fellowship and light they have found together. | The retreat is over but the fellowship is not; you leave with brothers and sisters who will walk beside you for the rest of the journey. |
| [What Will You Do...The Choice Is Yours to Make](messages/2015/08/2015-08-17-af-augustine.md) | Augustine | Al Fike | 2015‑08‑17 | The Saints & Apostles Speak |  | Augustine closes a retreat session with a brief but penetrating message, reminding the gathering that their soul purpose is already chosen within them and waiting to be uncovered. He encourages complete honesty in their sharing, whether lost or knowing, and assures them that help will come. | The choice is already made within your soul; the work now is simply to uncover what is already there. |
| [The Angels Come to Bless a Retreat Gathering in Gibsons](messages/2015/08/2015-08-17-af-confucius-2.md) | Confucius | Al Fike | 2015‑08‑17 | The Saints & Apostles Speak, Jesus Speaks |  | Six Celestial spirits speak in sequence to bless the August 2015 Gibsons Retreat gathering — Confucius, Mary, John the Beloved, Peter, Goldie, and Jesus — each offering their love, support, and encouragement to carry the truth of Divine Love boldly into the world. | Six voices from the Celestial Kingdom take turns to say the same thing: you are loved, you are not alone, go forward. |
| [Sow Seeds of Love Upon Your Journey](messages/2015/08/2015-08-17-af-confucius.md) | Confucius | Al Fike | 2015‑08‑17 | Service & Mission |  | Confucius teaches that those who carry Divine Love within their souls are already sowing seeds of hope wherever they go, often without knowing it. He encourages the gathering to open themselves to receive God's blessings through all the avenues of His creation, and to walk in the world as a beautiful gift to every soul they encounter. | You are sowing seeds of hope with every step you take; you just cannot see yet which ones will bloom. |
| [The Power of the Love Bonds Shared by Those Who Pray for God's Love Together](messages/2015/08/2015-08-17-af-isaiah.md) | Isaiah | Al Fike | 2015‑08‑17 | The Saints & Apostles Speak, Jesus Speaks |  | Isaiah and Jesus close the August 2015 Gibsons Retreat with an affirmation that those who have gathered are now bonded for eternity, their souls connected in a shared mission. They encourage the group to hold fast to their commitments, commune with God through their souls, and walk as emissaries of Divine Love in the world. | The bonds formed when souls pray together do not dissolve when the gathering ends; they are woven into eternity. |
| [Jesus Speaks Seriously of Changes to Come: Be a Channel of Love through the Storms](messages/2015/08/2015-08-17-af-jesus.md) | Jesus of Nazareth | Al Fike | 2015‑08‑17 |  | Prophecy, Core Teaching | Jesus delivers a serious and wide-ranging message to a retreat gathering, calling them to stop seeking answers through the mind and instead seek through the soul. He warns of dramatic earth changes coming soon — caused not by men but by God's Creation responding to humanity's abuse of the Earth — and urges the group to prepare themselves spiritually, establish centres of Light as refuges, and work together as committed disciples to bring the Truth of Divine Love to the world before the storms arrive. | The storms are coming, and a soul grounded in Love is the safest place to stand |
| [Drink Deep These Living Waters](messages/2015/08/2015-08-17-af-john-the-beloved.md) | John the Beloved | Al Fike | 2015‑08‑17 | The Saints & Apostles Speak |  | John the Beloved blesses the gathering as angels crowd around to help build the light within their midst, inviting the souls present to drink deeply of God's Living Waters and raise themselves from the human condition into the Divine Presence. | The angels have crowded close and God's Love is pouring in; all that is asked of you is to drink deeply and not pull away. |
| [Seek out Your True Purpose](messages/2015/08/2015-08-17-af-peter.md) | Peter | Al Fike | 2015‑08‑17 | The Saints & Apostles Speak |  | Peter assures each soul present that God has embedded within them a unique purpose perfectly suited to their gifts and personality, and that ignoring it brings inner strife. He urges them to seek this purpose through prayer and soul awareness, promising that as Divine Love enlivens their souls the purpose will emerge with such clarity and power that even the mind will not contradict it. | Your true purpose is not something you choose. God placed it in your soul before you were born |
| [A Special Blessing to Those at the Gibsons Retreat](messages/2015/08/2015-08-17-af-seretta-kem.md) | Seretta Kem | Al Fike | 2015‑08‑17 |  |  | Seretta Kem delivers a healing blessing to the retreat gathering, assuring each soul that they have received a unique and permanent gift of healing tailored to their individual progression on the Divine Path, given in recognition of their effort to come together. | The effort to gather was itself an act of love, and God answered it with a healing uniquely suited to each soul present. |
| [The Road Less Traveled: Guidance for the Journey](messages/2015/08/2015-08-18-af-augustine.md) | Augustine | Al Fike | 2015‑08‑18 | Awakening Humanity, The Saints & Apostles Speak | Core Teaching | Augustine closes the retreat with a rich teaching on the spiritual path, urging the gathering to read the retreat messages again and again, plumb the depths of their souls, put God first in all things, and take responsibility for their choices. He assures them that the Light built within the soul lasts for all eternity and is worth every effort and sacrifice the path requires. | Most souls choose the road of self-empowerment; you have chosen the road that leads to God, and your shining on it gives others the same choice. |
| [We Embark on a Journey to Change the World](messages/2015/08/2015-08-19-af-augustine.md) | Augustine | Al Fike | 2015‑08‑19 | Awakening Humanity, Service & Mission, The Saints & Apostles Speak |  | Augustine speaks of the great beam of Light opened to the world through the gathering's prayers, assuring them that their network of love will multiply and multiply until the power of their longing souls changes the world. He calls them to embark together on a journey to heal the world and all that within each soul that is not in harmony with God's Love. | The world is crying out and God's answer is a small group of souls praying together; do not underestimate what that can set in motion. |
| [Jesus Comes to Open and Bless a Retreat Gathering](messages/2015/08/2015-08-19-af-jesus.md) | Jesus | Al Fike | 2015‑08‑19 | Jesus Speaks |  | Jesus blesses the retreat gathering with his presence, assuring each soul that he is with them always — in their longings, their struggles, and their moments of grace. He calls them his brethren on the Path Divine and promises that together they will walk for all eternity, discovering ever more of the power and glory of God's Love. | Jesus says he called you, he is with you, and he will walk with you for all eternity; the only question is whether you will keep walking. |
| [Some Comments on What the Angels Are Doing to Facilitate Our Soul Growth](messages/2015/08/2015-08-19-af-seretta-kem.md) | Seretta Kem | Al Fike | 2015‑08‑19 | Healing Path | Spirit Biography | Seretta Kem reveals the intricate spiritual work performed by angels during prayer gatherings, including chemical transferences between souls that create deep bonds and open pathways for soul-to-soul communication. He urges the group to redouble their prayers for Divine Love as the key to unlocking the magnificent abilities that lie dormant within each soul. | While you pray, angels are performing intricate work within and between your souls that you cannot see but will one day fully understand. |
| [Andrew Encourages All to Bring the Truth of God's Love Forward](messages/2015/08/2015-08-20-af-andrew.md) | Andrew | Al Fike | 2015‑08‑20 | The Saints & Apostles Speak |  | Andrew reflects on how God guided each soul in the gathering to His Love through unique and often unremarkable moments, and encourages them to trust that God will open doors and place on their path those who are ready to receive the Truth. He urges them to walk boldly as channels of Love, pray to be used as God's instruments, and work together in harmony, assuring them that the accumulation of humble acts of Love will build a mighty power in the world. | God guided you to this truth through an unremarkable moment. Trust Him to do the same for others |
| [Augustine Suggests That a Gift Given in Group Prayer Will Benefit Those Praying the Next Day](messages/2015/08/2015-08-20-af-augustine.md) | Augustine | Al Fike | 2015‑08‑20 | The Saints & Apostles Speak |  | Augustine assures the gathering that they have each received a special gift from God that will work through the night to bring them to a deeper place in prayer the following day. He encourages them to go to sleep in peace and come together the next morning with great expectation of an intense and abundant inflowing of the Father's Love. | God has given you a gift tonight that will work while you sleep; come to prayer tomorrow ready to receive what He has prepared. |
| [Circles of Light: Form Them Wherever You Go](messages/2015/08/2015-08-20-af-confucius.md) | Confucius | Al Fike | 2015‑08‑20 | Service & Mission, Awakening Humanity |  | Confucius affirms the power of group prayer demonstrated at the retreat and calls the gathering to form Circles of Light wherever they go when they return home. He assures them that gathering like-minded souls in loving prayer requires no great effort — only mutual intention, love, and a desire to bring Light — and that God will grant the means and show the way. | A Circle of Light asks nothing complicated of you — just mutual love, a shared intention, and the willingness to let God do the rest. |
| [Encouragement to Establish Centers of Light](messages/2015/08/2015-08-20-af-faith-nyquist.md) | Faith Nyquist | Al Fike | 2015‑08‑20 | Service & Mission | Spirit Biography | Faith Nyquist encourages the gathering to support and pursue the creation of Centres of Light in the world, assuring them that God will provide all that is required. She speaks from her own experience of dedicating her Earth life to following God's Will, and affirms that these Centres will become refuges of peace, love, and healing for the many souls who are seeking, regardless of religious background. | Faith built her life around following God's Will without fully knowing Divine Love; she has come back to say the doors are opening and the souls are ready to flood in. |
| [Release Your Old Ways and Allow God's Love to Bring New Understanding and Love](messages/2015/08/2015-08-20-af-francis-of-assisi.md) | Francis of Assisi | Al Fike | 2015‑08‑20 | Letters from History, Awakening Humanity, The Saints & Apostles Speak | Spirit Biography | Francis of Assisi draws on his own experience of walking away from material wealth to encourage the gathering to gradually release the attachments and walls that separate them from God and one another. He assures them that as they pray for Divine Love and let go, their gifts will flourish, their lives will transform harmoniously, and they will find the freedom and fulfillment their souls have always sought. | Francis walked away from everything and gained the world; he has come back to say the same road is open to you, one step at a time. |
| [Express the Truth to Others: Padgett Talks of Why This Is So Important](messages/2015/08/2015-08-20-af-james-padgett.md) | James Padgett | Al Fike | 2015‑08‑20 |  | Historical, Spirit Biography | James Padgett speaks to the retreat gathering, reflecting on his own journey of doubt and fear as he received the Divine Love messages, and encouraging those present to walk boldly in the Truth as he could not always do himself. He assures them that the blessings of God's Love are infinite and exponential, and that even the smallest act of sharing the Truth can have great and enduring consequences for others. | The truth you carry is needed, and the world cannot hear it if you keep it to yourself |
| [Keea Instructs a Group to Go to Their Souls and Live from That Place Rather Than the Material Mind](messages/2015/08/2015-08-20-af-keea-atta-kem.md) | Keea atta Kem | Al Fike | 2015‑08‑20 |  |  | Keea atta Kem calls the gathered souls to shift their consciousness from the material mind to the sacred place of the soul, where God's Will is known, wounds are healed, and all wisdom flows. She invites them to go together into that place of deep peace and holy communion with God, where every question is answered and every fear resolved. | Your soul already knows what your mind is still arguing about |
| [Give to Others but Do Not Do so with an Empty Basket](messages/2015/08/2015-08-20-af-martin-luther.md) | Martin Luther | Al Fike | 2015‑08‑20 |  |  | Martin Luther speaks to the diverse gathering at the retreat, urging them to release all judgment of one another and to love as God loves — unconditionally. He teaches that a soul filled with God's Love gives without depletion and receives more in return, and calls each person to take up the flame of Love and carry it boldly into the world, touching even those in darkness with compassion rather than condemnation. | You cannot give what you do not have. Fill yourself with Love before you try to fill others |
| [The Change That Is Coming Will Start with the Children](messages/2015/08/2015-08-20-af-mary.md) | Mary, Mother of Jesus | Al Fike | 2015‑08‑20 | The Saints & Apostles Speak |  | Mary reveals that the transformation of the world will begin with the children being born now, who are souls drawn to the Light and who will carry wisdom and harmony into the future. She urges those gathered to step fully into God's Love and Truth so they may teach and nurture these children, plant seeds of Love in all they encounter, and trust God to tend His garden in His own time. | The transformation of the world will begin with its youngest souls |
| [A Blessing From Jesus](messages/2015/08/2015-08-20-bd-jesus.md) | Jesus | Barbara Davies | 2015‑08‑20 | Jesus Speaks |  | Jesus blesses the retreat gathering through medium Barb Davies, affirming that each soul has received Divine Love and urging them to let it flow freely from their souls into the world. He assures them that the world is ready to receive this Love and that they are deeply needed and deeply loved. | Jesus says the world is ready; all that remains is for you to open and let the Love you carry flow freely from your soul. |
| [Be Open to His Love](messages/2015/08/2015-08-21-af-andrew.md) | Andrew | Al Fike | 2015‑08‑21 | The Saints & Apostles Speak |  | Andrew tenderly calls the gathered souls to reach beyond one another and open themselves completely to their Heavenly Father, who pours His Love upon them in that moment. He invites those who are hiding to come out and receive God's deep and abiding Love. | Openness is not passive. It is an active choice to receive what God is already offering |
| [Return to Your Soul and Live From That Place of Stillness and Love](messages/2015/08/2015-08-21-af-keea-atta-kem.md) | Keea Atta Kem | Al Fike | 2015‑08‑21 | Mind & Soul |  | Keea Atta Kem urges the gathering to return again and again to the sacred place within the soul where God's Will is known, His voice is heard, and His Love heals all wounds. She assures them that as they do, all that holds them in the human condition will fall away, and their consciousness will shift from mind to soul, where all questions are answered and all fear is resolved. | The place where God meets you is already within you; all that is needed is to go there again and again until it becomes home. |
| [There Is No Greater Pursuit Than the Path of Divine Love](messages/2015/08/2015-08-22-af-augustine-2.md) | Augustine | Al Fike | 2015‑08‑22 | Two Paths, Awakening Humanity, The Saints & Apostles Speak | Core Teaching, Prophecy | Augustine delivers a wide-ranging teaching covering the soul's journey through Divine Love, the power of group prayer, and the responsibility of those who carry the key of Divine Love to share it with the world. He then turns to prophetic warnings about coming world changes driven by humanity's imbalance with creation, assuring the gathering that those who are close to God will be guided safely through what is coming and will be needed to help many others. | Augustine promises that those who carry the key of Divine Love will be needed when the world shakes; the time to become that person is now. |
| [Augustine Advises a Retreat Group to Talk about Their Inner Soul Changes](messages/2015/08/2015-08-22-af-augustine.md) | Augustine | Al Fike | 2015‑08‑22 | The Saints & Apostles Speak |  | Augustine encourages the retreat group to share with one another what shifts and changes they have experienced within themselves during the gathering. He urges them to bring these inner awarenesses out into the open, examine them consciously, and work together toward the goal of integrating the changes God has brought within them. | Sharing your inner changes with others is itself an act of Love and courage |
| [Confucius Urges Group Participants to Start Circles of Light Where They Live](messages/2015/08/2015-08-22-af-confucius.md) | Confucius | Al Fike | 2015‑08‑22 |  |  | Confucius tells the retreat participants that each has been uniquely blessed and is now ready to uncover their individual path and purpose. He urges each one to start their own Circle of Light where they live — to pray, serve, and teach the Truth — and assures them that God will clear their path, lift their burdens, and provide all resources needed if they step forward in faith and love. | Every city, every town, every home can become a point of Light in the world |
| [Jesus Gives His Blessing to Those in the Retreat](messages/2015/08/2015-08-22-af-jesus.md) | Jesus of Nazareth | Al Fike | 2015‑08‑22 |  |  | Jesus closes the retreat with a wave of Love, expressing deep pleasure at what the gathered souls have accomplished together. He assures them that their work has sparked a reaction that will reverberate out to touch many souls, that the circle of Light they have created together will continue to be used by spirit, and that their work in the world is only just beginning. | The blessing of Jesus is not a formal ceremony. It is a living, personal touch |
| [John Gives a Prayer for Greater Enlightenment](messages/2015/08/2015-08-22-af-john-the-beloved.md) | John the Beloved | Al Fike | 2015‑08‑22 | The Saints & Apostles Speak |  | John the Beloved assures the retreat group that each soul has been uniquely blessed and gifted this day, with parts of their souls opened that were previously closed. He closes with a tender prayer to the Heavenly Father on behalf of all gathered, longing for at-onement, guidance, and a constant infilling of Divine Love. | Prayer is not a petition to a distant God. It is communion with One who is already present |
| [Nurture the Children](messages/2015/08/2015-08-22-af-mary.md) | Mary, Mother of Jesus | Al Fike | 2015‑08‑22 | The Saints & Apostles Speak |  | Mary calls those drawn to children to follow that calling, touch the children, and teach them the simple Truth of God's Love. She assures the group of her continued presence as they walk through life as channels of Light. | The children around you are not incidental. They are your first and most important mission field |
| [Many Angels Give Their Message of Reassurance and Comfort to a Group Which Came Together for a Prayer Retreat](messages/2015/08/2015-08-23-af-jesus.md) | Jesus of Nazareth | Al Fike | 2015‑08‑23 |  | Milestone | Ten celestial spirits — Andrew, Peter, John, Francis of Assisi, Keea atta Kem, Seretta Kem, Augustine, Goldie, Martin Luther, and Jesus — each bring a brief and tender message of love, support, and encouragement to the retreat group as they prepare to return home. Jesus closes with a prayer to the Father and a vision of Circles of Light spreading across the Earth. | You are not alone. Ten celestial spirits stand with you as you go back into the world |
| [Discernment and Soul Alignment after the Retreat](messages/2015/08/2015-08-24-af-augustine.md) | Augustine | Al Fike | 2015‑08‑24 | Service & Mission |  | Augustine closes the August 2015 Gibsons Retreat with a teaching on soul discernment and the human condition, urging the group to sustain their spiritual alignment through prayer and disciplined choice as they return home. He teaches that souls attuned to God become channels of Divine Love and agents of change in a world in desperate need. | Discern God's voice from the human condition and no storm will unsettle you. |
| [Material Manifestations Will Come in Time](messages/2015/08/2015-08-24-af-seretta-kem.md) | Seretta Kem | Al Fike | 2015‑08‑24 |  |  | Seretta Kem addresses a group discussion about spiritual manifestations, affirming that while material manifestations are possible and will occur in God's timing, they are not to be the focus of the work. He teaches that the most powerful manifestation of all is the love and Light of God flowing through a soul, and that soul-to-soul connection and the words of Truth are the higher expression of God's plan. | The most powerful healing manifestation is not a miracle. It is Love |
| [Words of Encouragement to Two Divine Love Followers](messages/2015/08/2015-08-27-af-mark.md) | Mark | Al Fike | 2015‑08‑27 | The Saints & Apostles Speak |  | Mark brings a tender and personal message of encouragement to two souls — a son and a daughter — affirming the unique gifts each carries and the Light they bring to the world together. He calls them to walk their path in humility and compassion, assuring them that God has touched and transformed them irrevocably and that their lives will increasingly reflect this great Light. | Your compassion for others is itself evidence of the Love within your soul |
| [Work Together in Love](messages/2015/08/2015-08-28-af-augustine.md) | Augustine | Al Fike | 2015‑08‑28 | The Saints & Apostles Speak |  | Augustine sends the retreat participants home with a final word of guidance, urging them to continue communicating and strengthening their bonds even across great distances. He assures them that their souls are forever bonded in Love, that as one gains insight all benefit, and that a new phase of their journey has begun — one filled with rapidly opening gifts, new perceptions, and many souls awaiting their presence. | Working together in Love creates something none of you could create alone |
| [Be a Light and Take Part in the Plan for the Salvation of Mankind](messages/2015/08/2015-08-28-af-jesus.md) | Jesus of Nazareth | Al Fike | 2015‑08‑28 |  |  | Jesus gives a farewell blessing to the retreat participants as they journey home, affirming the strength and purpose of the bonds they have built and calling them to take part in God's plan for the salvation of mankind. He acknowledges that the work will not be easy but assures them he stands with them, and calls them to be simple, generous, and loving as they walk in the Light. | You have been invited into God's plan for the world, not as a spectator but as a participant |
| [Mary Assures the Group of Her Continuing Presence and Love](messages/2015/08/2015-08-31-af-mary.md) | Mary | Al Fike | 2015‑08‑31 | The Saints & Apostles Speak |  | Mary offers tender reassurance to a prayer group, affirming that she is always present with them, her prayers constant and her love deep. She notes that channels of Divine Love in the world are few and tended with great care by celestial spirits, and encourages the group to continue seeking God's Love. | Mary is not watching from a distance. She is walking beside you in the Light right now. |
| [It Is Important for You to Take Time Each Day in Prayer](messages/2015/08/2015-08-31-af-moses.md) | Moses | Al Fike | 2015‑08‑31 | The Saints & Apostles Speak |  | Moses visits to bless the group with an awareness of God's immediate presence, likening His touch to a sunbeam parting clouds and His Love to a benediction opening deep chambers of the soul. He urges daily prayer, elevated thoughts, and attentive listening in silence as the path toward maturity and deep serenity in God's Love. | Prayer opens chambers in the soul. Moses has come a long way to tell you this. |
| [The World Is Changing and Needs Many Souls in Service to God's Will](messages/2015/08/2015-08-31-af-seretta-kem.md) | Seretta Kem | Al Fike | 2015‑08‑31 |  |  | Seretta Kem opens by noting that the medium is in physical pain yet communication continues, offering this as a lesson on the soul's influence over the body. He then speaks urgently of the winds of change coming to the world, assuring the group that God will guide many souls to them and work through them as beacons of Light. He calls each one to embrace God's Will completely and walk as a Lighted Path through darkening times. | The world's need for souls in service is urgent, and you already have what it takes |
| [Like a Newborn, the Eyes of Your Soul Begin to Open Bringing Shifts and Changes of Perception](messages/2015/09/2015-09-07-af-augustine.md) | Augustine | Al Fike | 2015‑09‑07 | The Saints & Apostles Speak |  | Augustine describes the post-retreat experience of deep inner shifting as the power of God's Love continues to transform each soul, comparing it to a newborn barely opening its eyes to a new world. He urges the group not to resist or be overwhelmed by the changes within, but to allow, accept, and trust in God as their anchor through this dramatic and rewarding process of transformation. | The disorientation you feel is not confusion. It is your soul's eyes learning to see |
| [Take Time to Come to Firmer Ground](messages/2015/09/2015-09-07-af-confucius.md) | Confucius | Al Fike | 2015‑09‑07 |  |  | Confucius addresses a period of inner uncertainty following deep soul shifts, reassuring the group — and the medium specifically — that feeling groundless is a natural part of the transition as new soul perceptions open. He calls them to stop speculating about the future, continue in daily prayer for God's Love, and wait patiently in peace as God's plan unfolds in His good time. | Stillness is not inaction. It is the foundation from which all true action comes |
| [Embrace All the Children of the World in Love](messages/2015/09/2015-09-14-af-confucius.md) | Confucius | Al Fike | 2015‑09‑14 | Letters from History |  | Confucius speaks of God drawing together souls from many cultures, backgrounds, and spiritual traditions, urging the group to embrace all without judgment, fear, or preference. He teaches that differences between people are conditions of the material mind, while every soul equally longs for Love and is precious in God's eyes. | Every soul longs for the same thing. The differences are only in the mind. |
